Nome,País,Cidade,Ranking_Internacional,Linguas_Competencia,Taxas_Extras,Cursos_em_Ingles,Auxilio_Monetario,Auxilio_Moradia,Data_Inspecao,Link_Universidade
Université de Versailles Saint-Quentin-en-Yvelines,França,Versailles,801,Frances B2,,Não,Não,Parcial/Condicional,23/02/2025,https://www.uvsq.fr/english
Università degli Studi di Macerata,Italia,Macerata,,Italiano A1 || Ingles B1,,Parcial/Condicional,Parcial/Condicional,Não,23/02/2025,https://iro.unimc.it/en/students/incoming-students/incoming-exchange-students
Università degli Studi di Milano,Italia,Milano,285,Italiano B1	 ,VRC,Não,Parcial/Condicional,Parcial/Condicional,23/02/2025,https://www.unimi.it/en/taxonomy/term/13
Università degli Studi di Napoli Federico II,Italia,Napoli,347,Italiano B1	 ,"156,00 EUR",Não,Não,Não,23/02/2025,https://www.international.unina.it/
Instituto Tecnologico y de Estudios Superiores de Monterrey,Mexico,Monterrey,185,Espanhol B2,,Não,Parcial/Condicional,Não,23/02/2025,https://tec.mx/en/admissions-and-aid
Universidad Autónoma de San Luis de Potosí,Mexico,San Luis de Potosi,1401,Espanhol B1,,Não,Não,Não,23/02/2025,https://www.uaslp.mx/Paginas/General/2596#gsc.tab=0
Universitatea Babes-Bolya,Romênia,Cluj-Napoca,781,Ingles B2,,Sim,Não,Parcial/Condicional,23/02/2025,https://www.uaslp.mx/Paginas/General/2596#gsc.tab=0
Innopolis University,Russia,Innopolis,,Ingles B1,"400,000 RUB",Sim,Parcial/Condicional,Parcial/Condicional,23/02/2025,https://www.uaslp.mx/Paginas/General/2596#gsc.tab=0
Universidad Nacional de Córdoba,Argentina,Córdoba,901,,,Não,Parcial/Condicional,Parcial/Condicional,23/02/2025,https://estudiantes.internacionales.unc.edu.ar/
Universidad Nacional de Cuyo,Argentina,Cuyo,1001,,,Não,Parcial/Condicional,Parcial/Condicional,23/02/2025,https://www.uncuyo.edu.ar/relacionesinternacionales/estudiantes/
Universidad Nacional de Quilmes,Argentina,Buenos Aires,1401,,,Não,Parcial/Condicional,Parcial/Condicional,23/02/2025,https://www.unq.edu.ar/institucional/
